Instance,Budget,Rate,PF_points, Time
4,32,0.1,2,0.82
4,32,0.4,1,0.25
4,32,0.7,1,1.01
4,32,1,2,0.19
4,40,0.1,2,1.28
4,40,0.4,1,0.21
4,40,0.7,1,0.84
4,40,1,2,0.25
4,48,0.1,1,1.28
4,48,0.4,1,1.7
4,48,0.7,1,3.82
4,48,1,1,0.16
4,56,0.1,1,0.99
4,56,0.4,1,1.49
4,56,0.7,1,1.51
4,56,1,1,0.15
4,64,0.1,1,0.21
4,64,0.4,1,0.16
4,64,0.7,1,0.18
4,64,1,1,0.16
