Instance,Budget,Rate,PF_points, Time
1,64,0.1,1,0.32
1,64,0.4,1,53.63
1,64,0.7,3,362.69
1,64,1,1,0.34
1,72,0.1,1,0.31
1,72,0.4,2,70.31
1,72,0.7,3,311.16
1,72,1,1,0.36
1,80,0.1,1,0.33
1,80,0.4,1,51.32
1,80,0.7,3,587.68
1,80,1,1,0.33
1,88,0.1,1,0.29
1,88,0.4,2,51.87
1,88,0.7,3,957.14
1,88,1,1,0.31
1,96,0.1,1,0.34
1,96,0.4,1,42.32
1,96,0.7,3,447.2
1,96,1,1,0.32
