Instance,Budget,Rate,PF_points, Time
5,32,0.1,1,0.12
5,32,0.4,1,0.1
5,32,0.7,1,0.12
5,32,1,1,0.12
5,40,0.1,1,0.12
5,40,0.4,1,0.1
5,40,0.7,1,0.1
5,40,1,1,0.1
5,48,0.1,1,0.11
5,48,0.4,1,0.1
5,48,0.7,1,0.1
5,48,1,2,0.25
5,56,0.1,1,0.11
5,56,0.4,1,0.78
5,56,0.7,1,0.74
5,56,1,1,0.1
5,64,0.1,1,0.23
5,64,0.4,1,0.85
5,64,0.7,1,0.53
5,64,1,1,0.1
